	utterances	interjection	adverb	subobjvrb	neg-keywords
0	['hello!']	[[hello, !]]	[[]]	[[[], []]]	[]
1	['hello']	[[hello]]	[[]]	[[[], []]]	[]
2	['hello!']	[[hello, !]]	[[]]	[[[], []]]	[]
3	['how are you?']	[[]]	[[]]	[[['how'], ['how']]]	[]
4	['its beyond my possibilities! i would like to talk about you!']	[[]]	[['possibility']]	[[['-PRON-', '-PRON-'], []]]	[]
5	['im from boston.']	[[]]	[['boston']]	[[[], []]]	[]
6	['good!']	[[good, !]]	[[]]	[[['good'], []]]	[]
7	['where are you from?']	[[]]	[[]]	[[['where'], ['where']]]	[]
8	['i m from umbria, near perugia.']	[[]]	[['umbria', 'perugia']]	[[[], []]]	[]
9	['wow. do you like where you live?']	[[]]	[[]]	[[['where'], ['where']]]	[]
10	['yeah.']	[[yeah, .]]	[[]]	[[[], []]]	[]
11	['do you have any children?']	[[]]	[['child']]	[[[], []]]	[]
12	['no.']	[[no, .]]	[[]]	[[[], []]]	[]
13	['i have 3 daughters.']	[[]]	[['daughter']]	[[[], []]]	[]
14	['what a joke!']	[[]]	[['what', 'joke']]	[[[], []]]	[]
15	['seriously. we can not make boys. haha']	[[]]	[['boy']]	[[['seriously', 'not'], ['not']]]	['seriously. we can not make boys. haha']
16	['what a joke']	[[]]	[['joke']]	[[['what'], []]]	[]
17	['do you want children?']	[[]]	[['child']]	[[[], []]]	[]
18	['no.']	[[no, .]]	[[]]	[[[], []]]	[]
19	['don not blame you. love my children but they are so much work. ']	[[]]	[['child', 'but', 'work']]	[[['not', '-PRON-', 'so', 'much'], ['not', 'so']]]	['don not blame you. love my children but they are so much work. ']
20	['i don t think they should be able to work for them.']	[[]]	[['t']]	[[['able'], []]]	[]
21	['hello!']	[[hello, !]]	[[]]	[[[], []]]	[]
22	['hi  how are you today?']	[[]]	[['today']]	[[['how'], ['how']]]	[]
23	['hi.']	[[hi, .]]	[[]]	[[[], []]]	[]
24	['hi  how are you today?']	[[]]	[['today']]	[[['how'], ['how']]]	[]
