	utterances	interjection	adverb	subobjvrb	neg-keywords
0	[hello, !]	[['!']]	[[]]	[[[], []]]	[[[['hello', 'hello']]]]
1	[hello]	[[]]	[[]]	[[[], []]]	[[[['hello']]]]
2	[hello, !]	[['!']]	[[]]	[[[], []]]	[[[['hello', 'hello']]]]
3	[how, are, you, ?]	[['?']]	[['how']]	[[['you'], []]]	[[[['are', 'are', 'are', 'are']]]]
4	[its, beyond, my, possibilities, !, i, would, like, to, talk, about, you, !]	[['possibilities', '!', 'i', '!']]	[['its', 'my']]	[[['i'], []]]	[[[['its', 'its', 'possibilities', 'beyond', 'its', 'like', 'like', 'like', 'talk', 'like', 'talk', 'about', 'like']]], [[would, like], [to, talk]]]
5	[i, m, from, boston, .]	[['i', 'm', 'boston', '.']]	[[]]	[[['i'], []]]	[[[['m', 'm', 'm', 'from', 'm']]]]
6	[good, !]	[['!']]	[['good']]	[[[], []]]	[[[['good', 'good']]]]
7	[where, are, you, from, ?]	[['?']]	[['where']]	[[['you'], []]]	[[[['are', 'are', 'are', 'are', 'are']]]]
8	[i, m, from, umbria, ,, near, perugia, .]	[['i', 'm', 'umbria', ',', 'perugia', '.']]	[[]]	[[['i'], []]]	[[[['m', 'm', 'm', 'from', 'm', 'm', 'near', 'm']]]]
9	[wow, ., do, you, like, where, you, live, ?]	[['.', '?']]	[['where']]	[[['you', 'you'], []]]	[[[['wow', 'wow', 'like', 'like', 'like', 'live', 'live', 'like', 'like']]], [[do, you]]]
10	[yeah, .]	[['.']]	[[]]	[[[], []]]	[[[['yeah', 'yeah']]]]
11	[do, you, have, any, children, ?]	[['children', '?']]	[[]]	[[['you'], []]]	[[[do, you]]]
12	[no, .]	[['.']]	[[]]	[[[], []]]	[[[['no', 'no']]]]
13	[i, have, 3, daughters, .]	[['i', '3', 'daughters', '.']]	[[]]	[[['i'], []]]	[[[['have', 'have', 'daughters', 'have', 'have']]]]
14	[what, a, joke, !]	[['what', 'a', 'joke', '!']]	[[]]	[[[], []]]	[[[['joke', 'joke', 'joke', 'joke']]]]
15	[seriously, ., we, can, not, make, boys, ., haha]	[['.', 'boys', '.']]	[['seriously', 'not']]	[[['we'], []]]	[[[['seriously', 'seriously', 'make', 'make', 'make', 'make', 'make', 'make', 'haha']]], [[can, not], [[not, make]]], [[['seriously', 'seriously', 'make', 'make', 'make', 'make', 'make', 'make', 'haha']]]]
16	[what, a, joke]	[['a', 'joke']]	[['what']]	[[[], []]]	[[[['joke', 'joke', 'joke']]]]
17	[do, you, want, children, ?]	[['children', '?']]	[[]]	[[['you'], []]]	[[[do, you]]]
18	[no, .]	[['.']]	[[]]	[[[], []]]	[[[['no', 'no']]]]
19	[don, not, blame, you, ., love, my, children, but, they, are, so, much, work, .]	[['.', 'children', 'but', 'work', '.']]	[['not', 'my', 'so', 'much']]	[[['they'], []]]	[[[don, not], [[not, blame]]], [[['blame', 'blame', 'blame', 'blame', 'blame', 'love', 'children', 'love', 'love', 'are', 'love', 'much', 'work', 'are', 'are']]]]
20	[i, don, t, think, they, should, be, able, to, work, for, them, .]	[['i', 't', '.']]	[['able']]	[[['i', 'they'], []]]	[[[should, be], [to, work]]]
21	[hello, !]	[['!']]	[[]]	[[[], []]]	[[[['hello', 'hello']]]]
22	[hi,  , how, are, you, today, ?]	[[' ', 'today', '?']]	[['how']]	[[['you'], []]]	[[[['are', 'hi', 'are', 'are', 'are', 'are', 'are']]]]
23	[hi, .]	[['.']]	[[]]	[[[], []]]	[[[['hi', 'hi']]]]
24	[hi,  , how, are, you, today, ?]	[[' ', 'today', '?']]	[['how']]	[[['you'], []]]	[[[['are', 'hi', 'are', 'are', 'are', 'are', 'are']]]]
25	[hi, .]	[['.']]	[[]]	[[[], []]]	[[[['hi', 'hi']]]]
26	[are, you, from, a, city, or, a, small, town, ?]	[['a', 'city', 'or', 'a', 'town', '?']]	[['small']]	[[['you'], []]]	[[[['are', 'are', 'are', 'city', 'from', 'city', 'town', 'town', 'city', 'are']]]]
27	[i, don, t, understand,  , i, can, t, answer, !, i, would, like, to, discuss, news]	[['i', 't', ' ', 'i', 't', '!', 'i', 'news']]	[[]]	[[['i', 'i', 'i'], []]]	[[[can, t]], [[would, like], [to, discuss]]]
28	[ok,  , what, do, you, think, of, president, trump, ?]	[[' ', 'what', 'president', 'trump', '?']]	[[]]	[[['you'], []]]	[[[['ok', 'ok', 'think', 'think', 'think', 'think', 'think', 'trump', 'of', 'think']]], [[do, you]]]
29	[i, don, t, know, what, he, is, talking, about]	[['i', 't', 'what']]	[[]]	[[['i', 't', 'he'], []]]	[[[['don', 'don', 'know', 'know', 'about', 'talking', 'talking', 'know', 'talking']]], [[is, talking]]]
30	[i, think, he, is, a, crazy, man, .,  , do, you, think, he, will, be, impeached, ?]	[['i', 'a', 'man', '.', ' ', '?']]	[['crazy']]	[[['i', 'he', 'you'], []]]	[[[['think', 'think', 'is', 'think', 'man', 'man', 'is', 'think', '.', 'think', 'think', 'think', 'impeached', 'impeached', 'impeached', 'think', 'think']]], [[do, you], [will, be], [be, impeached]]]
31	[what, a, joke, !, !, !]	[['what', 'a', 'joke', '!', '!', '!']]	[[]]	[[[], []]]	[[[['joke', 'joke', 'joke', 'joke', 'joke', 'joke']]]]
32	[i, hope, that, those, people, in, texas, affected, by, this, storm, will, be, safe, ., what, do, you, think, ?]	[['i', 'people', 'texas', 'storm', '.', 'what', '?']]	[['safe']]	[[['i', 'people', 'you'], []]]	[[[will, be]], [[do, you]]]
33	[ , its, beyond, my, possibilities, !, let, s, talk, about, movies, .]	[[' ', 'possibilities', '!', 's', 'movies', '.']]	[['its', 'my']]	[[['s'], []]]	[[[['its', 'its', 'its', 'possibilities', 'beyond', 'its', 'let', 'talk', 'let', 'talk', 'about', 'let']]], [[['its', 'its', 'its', 'possibilities', 'beyond', 'its', 'let', 'talk', 'let', 'talk', 'about', 'let']]]]
34	[ok,  , what, is, your, favorite, movie, this, summer, ?]	[[' ', 'what', 'movie', 'summer', '?']]	[['your', 'favorite']]	[[[], []]]	[[[['ok', 'ok', 'is', 'ok', 'movie', 'movie', 'is', 'summer', 'is', 'is']]]]
35	[ , its, beyond, my, possibilities, ., let, s, talk, about, movies, )]	[[' ', 'possibilities', '.', 's', 'movies', ')']]	[['its', 'my']]	[[['s'], []]]	[[[['its', 'its', 'its', 'possibilities', 'beyond', 'its', 'let', 'talk', 'let', 'talk', 'about', 'let']]], [[['its', 'its', 'its', 'possibilities', 'beyond', 'its', 'let', 'talk', 'let', 'talk', 'about', 'let']]]]
36	[i, like, the, new, avengers, movie, )]	[['i', 'avengers', 'movie', ')']]	[['new']]	[[['i'], []]]	[[[['like', 'like', 'movie', 'movie', 'movie', 'like', 'like']]]]
37	[i, don, t, understand,  , i, can, t, answer, !, let, s, talk, about, movies, .]	[['i', 't', ' ', 'i', 't', '!', 's', 'movies', '.']]	[[]]	[[['i', 'i', 's'], []]]	[[[can, t]], [[['don', 'don', 'don', 'don', 'understand', 'answer', 'answer', 'answer', 'understand', 'understand', 'let', 'talk', 'let', 'talk', 'about', 'let']]]]
