	utterances	interjection	adverb	subobjvrb	neg-keywords
0	[hi, alex]	[['alex']]	[[]]	[[[], []]]	[[[['alex', 'alex']]]]
1	[you, three, have, a, good, weekend, .]	[['a', 'weekend', '.']]	[['good']]	[[['you', 'three'], []]]	[[[['have', 'have', 'have', 'weekend', 'weekend', 'have', 'have']]]]
2	[thanks]	[['thanks']]	[[]]	[[[], []]]	[[[['thanks']]]]
3	[now, come, on, ,, let, is, get, out, of, here, ., i, am, freezing, and, mr, .]	[[',', '.', 'i', 'and', 'mr', '.']]	[['now', 'here']]	[[['i'], []]]	[[[is, get]], [[am, freezing]]]
4	[it, is, quite, cold, here]	[[]]	[['quite', 'cold', 'here']]	[[['it'], []]]	[[[['is', 'is', 'cold', 'is', 'is']]]]
5	[it, is,  , wouldpose, to, be, cold, .]	[[' ', 'wouldpose', '.']]	[['cold']]	[[['it'], []]]	[[[to, be]]]
6	[i, suppose]	[['i']]	[[]]	[[['i'], []]]	[[[['suppose', 'suppose']]]]
7	[you, can, leave, it, there, ., a, beat, ., does, she, really, mean, it, ?]	[['.', 'a', 'beat', '.', '?']]	[['there', 'really']]	[[['you', 'she'], []]]	[[[can, leave]], [[['leave', 'leave', 'leave', 'leave', 'leave', 'leave', 'beat', 'beat', 'beat', 'mean', 'mean', 'mean', 'mean', 'mean', 'mean']]], [[does, she]]]
8	[i, do, not, know]	[['i']]	[['not']]	[[['i'], []]]	[[[do, not], [[not, know]]]]
9	[i, think, it, is, totally, weak, .]	[['i', '.']]	[['totally', 'weak']]	[[['i', 'it'], []]]	[[[['think', 'think', 'is', 'think', 'weak', 'is', 'think']]]]
10	[maybe]	[[]]	[['maybe']]	[[[], []]]	[[[['maybe']]]]
11	[maybe, –, maybe, !, i, do, not, want, any, maybe, .]	[['–', '!', 'i', '.']]	[['maybe', 'maybe', 'not', 'maybe']]	[[['i'], []]]	[[[['–', '–', '–', '–', 'want', 'want', 'want', 'want', 'want', 'want', 'want']]], [[do, not], [[not, want]]]]
12	[what, do, you, want, ?]	[['what', '?']]	[[]]	[[['you'], []]]	[[[do, you]]]
13	[were, you, asleep, ?]	[['?']]	[['asleep']]	[[['you'], []]]	[[[['were', 'were', 'were', 'were']]]]
14	[when, ?]	[['?']]	[['when']]	[[[], []]]	[[[['when', 'when']]]]
15	[in, a, minute, ,, look, it, is, hot, ,, sweetie, you, will, burn, your, nose, ,, look, out, .]	[['a', 'minute', ',', ',', 'sweetie', 'nose', ',', '.']]	[['hot', 'your']]	[[['it', 'you'], []]]	[[[will, burn]]]
16	[what, ?]	[['what', '?']]	[[]]	[[[], []]]	[[[['what', 'what']]]]
17	[the, radio, is, gone, ..., that, means, --, the, car, is, gone, !]	[['radio', 'car', '!']]	[[]]	[[['that'], []]]	[[[is, gone], [is, gone]]]
18	[what, car, ?]	[['car', '?']]	[['what']]	[[[], []]]	[[[['car', 'car', 'car']]]]
19	[i, have, an, idea, for, that, .]	[['i', 'idea', '.']]	[[]]	[[['i'], []]]	[[[['have', 'have', 'idea', 'have', 'idea', 'for', 'have']]]]
20	[hi, alex, ,, you, still, there]	[['alex', ',']]	[['still', 'there']]	[[[], []]]	[[[['alex', 'alex', 'alex', 'alex', 'you', 'you']]]]
21	[so, you, have, been, told, you, have, cancer, ., well, ...]	[['cancer', '.']]	[[]]	[[['you'], []]]	[[[have, been], [been, told]], [[['told', 'told', 'told', 'told', 'told', 'have', 'told', 'have', 'told', 'well', 'well']]]]
22	[no, ,, i, do, not, think, so]	[[',', 'i']]	[['not', 'so']]	[[['i'], []]]	[[[do, not], [[not, think]]]]
23	[you, do, not, like, it, .]	[['.']]	[['not']]	[[['you'], []]]	[[[do, not], [[not, like]]]]
24	[of, course, not, !, !, !]	[['course', '!', '!', '!']]	[['not']]	[[[], []]]	[[[['not', 'of', 'not', 'not', 'not', 'not']]]]
