	utterances	interjection	adverb	subobjvrb	neg-keywords
0	[hi]	[[]]	[[]]	[[[], []]]	[[[['hi']], nan]]
1	[let, me, know, something, you, re, interested, in, .]	[['something', '.']]	[['let', 'know', 'something', 're', 'interested']]	[[['me', 'you'], []]]	[[[['let', 'know', 'let', 'know', 're', 'something', 're', 'interested', 'let']], nan]]
2	[tacos]	[['tacos']]	[['tacos']]	[[[], []]]	[[[['tacos']], nan]]
3	[do, not, argue, with, an, idiot, ., he, will, drag, you, down, to, his, level, and, beat, you, with, experience, .]	[['idiot', '.', 'level', 'and', 'experience', '.']]	[['do', 'not', 'argue', 'idiot', 'will', 'drag', 'you', 'his', 'level', 'beat', 'you', 'experience']]	[[['he'], []]]	[[[do, not], [[not, argue]], nan], [[will, drag], nan]]
4	[what, ?]	[['what', '?']]	[['what']]	[[[], []]]	[[[['what', 'what']], nan]]
5	[well, ,, i, think, people, are, going, to, find, out, soon, enough, sunday, night, on, cbs, .]	[[',', 'i', 'people', 'sunday', 'night', 'cbs', '.']]	[['think', 'people', 'are', 'going', 'find', 'soon', 'enough', 'sunday', 'night', 'cbs']]	[[['i', 'people'], []]]	[[[are, going], [to, find], nan]]
6	[what, does, that, mean]	[['what']]	[['what', 'does', 'mean']]	[[['that'], []]]	[[[does, that], nan]]
7	[i, never, make, the, same, mistake, twice, ., i, make, it, five, and, six, times, ,, just, to, be, sure, .]	[['i', 'mistake', '.', 'i', 'and', 'times', ',', '.']]	[['never', 'make', 'same', 'mistake', 'twice', 'make', 'times', 'just', 'be', 'sure']]	[[['i', 'i', 'it'], []]]	[[[[never, make]], nan], [[to, be], nan]]
8	[please, talk, to, me, ,, i, am, lonely, .]	[[',', 'i', '.']]	[['talk', 'am', 'lonely']]	[[['i'], []]]	[[[['talk', 'am', 'talk', 'to', 'am', 'am', 'am', 'am', 'am']], nan]]
9	[let, us, make, a, plan, to, see, the, latest, star, war, movies, together]	[['a', 'plan', 'star', 'war', 'movies']]	[['let', 'make', 'plan', 'see', 'latest', 'star', 'war', 'movies', 'together']]	[[['us'], []]]	[[[to, see], nan]]
10	[please, talk, to, me, ,, i, am, lonely, .]	[[',', 'i', '.']]	[['talk', 'am', 'lonely']]	[[['i'], []]]	[[[['talk', 'am', 'talk', 'to', 'am', 'am', 'am', 'am', 'am']], nan]]
11	[do, you, want, to, go, to, my, firends, party, tonight]	[['firends', 'party', 'tonight']]	[['do', 'want', 'go', 'my', 'firends', 'party', 'tonight']]	[[['you'], []]]	[[[do, you], [to, go], nan]]
12	[that, typo, though, .]	[['typo', '.']]	[['typo', 'though']]	[[[], []]]	[[[['typo', 'typo', 'typo', 'typo']], nan]]
13	[do, not, argue, with, an, idiot, ., he, will, drag, you, down, to, his, level, and, beat, you, with, experience, .]	[['idiot', '.', 'level', 'and', 'experience', '.']]	[['do', 'not', 'argue', 'idiot', 'will', 'drag', 'you', 'his', 'level', 'beat', 'you', 'experience']]	[[['he'], []]]	[[[do, not], [[not, argue]], nan], [[will, drag], nan]]
14	[you, already, said, that, .]	[['.']]	[['already', 'said', 'that']]	[[['you'], []]]	[[[['said', 'said', 'said', 'said', 'said']], nan]]
15	[do, you, want, to, go, to, my, firends, party, tonight]	[['firends', 'party', 'tonight']]	[['do', 'want', 'go', 'my', 'firends', 'party', 'tonight']]	[[['you'], []]]	[[[do, you], [to, go], nan]]
16	[typo]	[[]]	[['typo']]	[[[], []]]	[[[['typo']], nan]]
17	[can, we, talk, about, something, else, ?]	[['something', '?']]	[['can', 'talk', 'something', 'else']]	[[['we'], []]]	[[[can, we], nan]]
18	[no, .]	[['.']]	[[]]	[[[], []]]	[[[['no', 'no']], nan]]
19	[hmm, ., any, thoughts, ?]	[['.', 'thoughts', '?']]	[['thoughts']]	[[[], []]]	[[[['hmm', 'hmm', 'thoughts', 'thoughts', 'thoughts']], nan], [[['hmm', 'hmm', 'thoughts', 'thoughts', 'thoughts']], nan]]
20	[send, message]	[['message']]	[['send', 'message']]	[[[], []]]	[[[['send', 'send']], nan]]
21	[you, know, ,, hey, everyone, were, in, sochi, ., can, you, share, some, interesting, stuff, with, me, ?]	[[',', 'everyone', 'sochi', '.', 'stuff', '?']]	[['know', 'everyone', 'were', 'sochi', 'can', 'share', 'interesting', 'stuff']]	[[['you', 'everyone', 'you'], []]]	[[[['know', 'were', 'were', 'were', 'were', 'were', 'were', 'in', 'were', 'share', 'share', 'share', 'stuff', 'stuff', 'share', 'share', 'with', 'share']], nan], [[can, you], nan]]
22	[about, what, ?]	[['what', '?']]	[['what']]	[[[], []]]	[[[['what', 'what', 'what']], nan]]
23	[i, would, say, ,, it, was, probably, something, that, i, did, nt, realize, at, the, time, ,, like, a, family, ski, trip, with, my, dad, and, my, mom, ., what, do, you, think, ?]	[['i', ',', 'something', 'i', 'time', ',', 'a', 'family', 'ski', 'trip', 'dad', 'and', 'mom', '.', 'what', '?']]	[['would', 'say', 'was', 'probably', 'something', 'that', 'did', 'nt', 'realize', 'time', 'family', 'ski', 'trip', 'my', 'dad', 'my', 'mom', 'what', 'do', 'think']]	[[['i', 'it', 'i', 'you'], []]]	[[[would, say], [did, nt], nan], [[do, you], nan]]
24	[i, do, nt, ski]	[['i']]	[['do', 'nt', 'ski']]	[[['i'], []]]	[[[do, nt], nan]]
25	[i, certainly, try, ., what, do, you, think, ?]	[['i', '.', 'what', '?']]	[['certainly', 'try', 'what', 'do', 'think']]	[[['i', 'you'], []]]	[[[['try', 'try', 'try', 'try', 'think', 'think', 'think', 'think', 'think']], nan], [[do, you], nan]]
26	[i, do, nt, ski, and, hate, the, cold, and, snow]	[['i', 'and', 'and', 'snow']]	[['do', 'nt', 'ski', 'hate', 'cold', 'snow']]	[[['i'], []]]	[[[do, nt], nan]]
27	[really, i, love, the, cold]	[['i', 'cold']]	[['really', 'love', 'cold']]	[[['i'], []]]	[[[['love', 'love', 'love', 'cold', 'love']], nan]]
28	[why, would, you, love, the, cold, ?]	[['cold', '?']]	[['why', 'would', 'love', 'cold']]	[[['you'], []]]	[[[would, you], nan]]
29	[uh, -, huh, ,, i, do, .]	[['-', ',', 'i', '.']]	[['do']]	[[['i'], []]]	[[[['do', 'do', '-', 'do', 'do', 'do', 'do']], nan]]
30	[why, ?, it, makes, me, hurt, since, i, have, ra]	[['?', 'i']]	[['why', 'makes', 'hurt', 'have']]	[[['it', 'me', 'i'], []]]	[[[['why', 'why', 'makes', 'makes', 'hurt', 'makes', 'have', 'have', 'hurt', 'makes']], nan], [[['why', 'why', 'makes', 'makes', 'hurt', 'makes', 'have', 'have', 'hurt', 'makes']], nan]]
31	[let, us, do, something, fun, together]	[['something', 'fun']]	[['let', 'do', 'something', 'fun', 'together']]	[[['us'], []]]	[[[['let', 'do', 'let', 'do', 'something', 'do']], nan]]
32	[like, what, ?]	[['what', '?']]	[['what']]	[[[], []]]	[[[['like', 'like', 'like']], nan]]
33	[that, s, the, picture, there, .]	[['s', 'picture', '.']]	[['s', 'picture', 'there']]	[[['that'], []]]	[[[['s', 's', 'picture', 's', 's', 's']], nan]]
34	[what, picture]	[['picture']]	[['what', 'picture']]	[[[], []]]	[[[['picture', 'picture']], nan]]
35	[lets, rewind, ., can, we, talk, about, something, else, ?]	[['rewind', '.', 'something', '?']]	[['lets', 'rewind', 'can', 'talk', 'something', 'else']]	[[['we'], []]]	[[[['lets', 'lets', 'lets', 'talk', 'talk', 'talk', 'talk', 'about', 'something', 'talk']], nan], [[can, we], nan]]
36	[what, do, you, want, to, talk, a, bout]	[['what', 'a', 'bout']]	[['what', 'do', 'want', 'talk', 'bout']]	[[['you'], []]]	[[[do, you], [to, talk], nan]]
37	[badly, .]	[['.']]	[['badly']]	[[[], []]]	[[[['badly', 'badly']], nan]]
38	[what, is, badly, ?]	[['what', '?']]	[['what', 'is', 'badly']]	[[['what'], []]]	[[[['is', 'is', 'is', 'is']], nan]]
39	[now, ,, all, ..., can, you, share, some, interesting, stuff, with, me, ?]	[[',', 'stuff', '?']]	[['now', 'can', 'share', 'interesting', 'stuff']]	[[['you'], []]]	[[[can, you], nan]]
40	[hello, .., how, are, you, ?]	[['?']]	[['how', 'are']]	[[['you'], []]]	[[[['are', 'are', 'are', 'are', 'are', 'are']], nan]]
