	utterances	interjection	adverb	subobjvrb	neg-keywords
0	['hi alex']	[[hi, alex]]	[['alex']]	[[[], ['hi']]]	[]
1	['you three have a good weekend.']	[[]]	[['weekend']]	[[['good'], []]]	[]
2	['thanks']	[[thanks]]	[['thank']]	[[[], []]]	[]
3	['now come on, let is get out of here. i am freezing and mr.']	[[]]	[['and', 'mr']]	[[['now', 'here'], ['now']]]	[]
4	['it is quite cold here']	[[]]	[[]]	[[['quite', 'cold', 'here'], ['quite', 'here']]]	[]
5	['it is  wouldpose to be cold.']	[[]]	[['wouldpose']]	[[['cold'], []]]	[]
6	['i suppose']	[[i, suppose]]	[[]]	[[[], []]]	[]
7	['you can leave it there. a beat. does she really mean it?']	[[]]	[['beat']]	[[['there', 'really'], ['there', 'really']]]	[]
8	['i do not know']	[[]]	[[]]	[[['not'], ['not']]]	['i do not know']
9	['i think it is totally weak.']	[[]]	[[]]	[[['totally', 'weak'], ['totally']]]	[]
10	['maybe']	[[maybe]]	[[]]	[[['maybe'], []]]	[]
11	['maybe – maybe! i do not want any maybe.']	[[]]	[[]]	[[['maybe', 'maybe', 'not', 'maybe'], ['maybe', 'maybe', 'not', 'maybe']]]	['maybe – maybe! i do not want any maybe.']
12	['what do you want?']	[[]]	[['what']]	[[[], []]]	[]
13	['were you asleep?']	[[]]	[[]]	[[['asleep'], []]]	[]
14	['when?']	[[when, ?]]	[[]]	[[['when'], []]]	[]
15	['in a minute, look it is hot, sweetie you will burn your nose, look out.']	[[]]	[['minute', 'sweetie', 'nose']]	[[['hot', '-PRON-'], []]]	[]
16	['what?']	[[what, ?]]	[['what']]	[[[], []]]	[]
17	['the radio is gone... that means--the car is gone!']	[[]]	[['radio', 'car']]	[[[], []]]	[]
18	['what car?']	[[]]	[['car']]	[[['what'], []]]	[]
19	['i have an idea for that.']	[[]]	[['idea']]	[[[], []]]	[]
20	['hi alex, you still there']	[[]]	[['alex']]	[[['still', 'there'], ['hi', 'still', 'there']]]	[]
21	['so you have been told you have cancer. well...']	[[]]	[['cancer']]	[[[], ['so']]]	[]
22	['no, i do not think so']	[[]]	[[]]	[[['not', 'so'], ['not', 'so']]]	['no, i do not think so']
23	['you do not like it.']	[[]]	[[]]	[[['not'], ['not']]]	['you do not like it.']
24	['of course not!!!']	[[]]	[['course']]	[[['not'], []]]	[]
25	['what i mean is, do you really know what is going on in his head?']	[[]]	[['what', 'what', 'head']]	[[['really', '-PRON-'], ['really']]]	[]
26	['no']	[[no]]	[[]]	[[[], []]]	[]
27	['i told you a thousand times you should always keep, uh...']	[[]]	[['time']]	[[['always'], ['always']]]	[]
28	['sorry, but i forgot']	[[]]	[['but']]	[[[], []]]	[]
29	['side-kick drives away. grierson turns to david.']	[[]]	[['kick', 'drive', 'grierson', 'david']]	[[['side', 'away'], ['away']]]	[]
30	['what???']	[[]]	[['what']]	[[[], []]]	[]
31	['joey points']	[[joey, points]]	[['joey', 'point']]	[[[], []]]	[]
32	['you are like crazy today']	[[]]	[['today']]	[[['crazy'], []]]	[]
33	['dad, this is not actually what he is like. he took some drugs and--']	[[]]	[['dad', 'what', 'drug']]	[[['not', 'actually'], ['not', 'actually']]]	['dad, this is not actually what he is like. he took some drugs and--']
34	['helloooo']	[[helloooo]]	[['helloooo']]	[[[], []]]	[]
35	['leave it']	[[leave, it]]	[[]]	[[[], []]]	[]
36	['you, leave it, can we just talk?']	[[]]	[[]]	[[['just'], ['just']]]	[]
37	['he persists.']	[[]]	[[]]	[[[], []]]	[]
38	['who is he anyway?']	[[]]	[['who']]	[[['anyway'], ['anyway']]]	[]
39	['well... why are you asking this, by the way?']	[[]]	[['way']]	[[['why'], ['why']]]	[]
40	['hi alex']	[[hi, alex]]	[['alex']]	[[[], ['hi']]]	[]
41	['hi.']	[[hi, .]]	[[]]	[[[], []]]	[]
42	['how are you doing today?']	[[]]	[['today']]	[[['how'], ['how']]]	[]
43	['i am killing myself.']	[[]]	[[]]	[[[], []]]	[]
44	['why?']	[[why, ?]]	[[]]	[[['why'], []]]	[]
45	['well, i think --']	[[]]	[[]]	[[[], []]]	[]
46	['about what?']	[[]]	[['what']]	[[[], ['about']]]	[]
47	['yeah, i heard about that.']	[[]]	[[]]	[[[], []]]	[]
48	['what?']	[[what, ?]]	[['what']]	[[[], []]]	[]
49	['i think you have a gray hair.']	[[]]	[['hair']]	[[['gray'], []]]	[]
50	['you are right']	[[]]	[[]]	[[['right'], []]]	[]
51	['it is like the days of the mad barber of fleet street, is not it?']	[[]]	[['day', 'barber', 'fleet', 'street']]	[[['mad', 'not'], ['not']]]	['it is like the days of the mad barber of fleet street, is not it?']
52	['yes']	[[yes]]	[[]]	[[[], []]]	[]
53	['i would like to thank you for filling in on such short notice for the vice president.']	[[]]	[['notice', 'vice', 'president']]	[[['such', 'short'], []]]	[]
54	['do you have a car?']	[[]]	[['car']]	[[[], []]]	[]
55	['you lying son of a bitch...']	[[]]	[['son', 'bitch']]	[[[], []]]	[]
56	['do you have a car?']	[[]]	[['car']]	[[[], []]]	[]
57	['this car.']	[[]]	[['car']]	[[[], []]]	[]
58	['do you have a car?']	[[]]	[['car']]	[[[], []]]	[]
59	['could you please say something different?']	[[]]	[['something']]	[[['different'], []]]	[]
60	['i am back again']	[[]]	[[]]	[[['back', 'again'], ['back', 'again']]]	[]
61	['my house is just a couple of blocks away.']	[[]]	[['house', 'couple', 'block']]	[[['-PRON-', 'just', 'away'], ['just', 'away']]]	[]
62	['good, are we going there?']	[[]]	[[]]	[[['good', 'there'], ['there']]]	[]
63	['what are we going to do?']	[[]]	[['what']]	[[[], []]]	[]
64	['have some food for dinner, i can cook']	[[]]	[['food', 'dinner']]	[[[], []]]	[]
65	['yes.']	[[yes, .]]	[[]]	[[[], []]]	[]
66	['rendang']	[[rendang]]	[[]]	[[['rendang'], []]]	[]
67	['please explain that to me!']	[[]]	[[]]	[[[], []]]	[]
68	['rendang is a spicy meat dish which originated from the minangkabau ethnic group of indonesia']	[[]]	[['meat', 'dish', 'minangkabau', 'group', 'indonesia']]	[[['spicy', 'which', 'ethnic'], []]]	[]
69	['ok, thank you for explaining it!']	[[]]	[[]]	[[[], []]]	[]
70	['do you like rendang']	[[]]	[[]]	[[['rendang'], []]]	[]
71	['... a group from the ...']	[[]]	[['group']]	[[[], []]]	[]
72	['rendang']	[[rendang]]	[[]]	[[['rendang'], []]]	[]
73	['... a group from the ...']	[[]]	[['group']]	[[[], []]]	[]
74	['rendang']	[[rendang]]	[[]]	[[['rendang'], []]]	[]
75	['it is not the dish--']	[[]]	[['dish--']]	[[['not'], ['not']]]	['it is not the dish--']
76	['why the sequence is not in order']	[[]]	[['sequence', 'order']]	[[['why', 'not'], ['why', 'not']]]	['why the sequence is not in order']
77	['everything is in order.']	[[]]	[['everything', 'order']]	[[[], []]]	[]
78	['i do not think so, let me check the logs']	[[]]	[['log']]	[[['not', 'so'], ['not', 'so']]]	['i do not think so, let me check the logs']
79	['check.']	[[check, .]]	[[]]	[[[], []]]	[]
80	['hi alex']	[[hi, alex]]	[['alex']]	[[[], ['hi']]]	[]
81	['you three have a good weekend.']	[[]]	[['weekend']]	[[['good'], []]]	[]
82	['yes. how did you know it?']	[[]]	[[]]	[[['how'], ['how']]]	[]
83	['squash it.']	[[]]	[[]]	[[[], []]]	[]
84	['ok. good.']	[[]]	[[]]	[[['good'], []]]	[]
85	['wait!']	[[wait, !]]	[[]]	[[[], []]]	[]
86	['for what?']	[[]]	[['what']]	[[[], []]]	[]
87	['no matter what you think, you did come up with something unique.']	[[]]	[['what', 'something']]	[[['no', 'matter', 'unique'], ['no', 'matter']]]	['no matter what you think, you did come up with something unique.']
88	['thank you.']	[[]]	[[]]	[[[], []]]	[]
89	['now i want you to do something for me.']	[[]]	[['something']]	[[['now'], ['now']]]	[]
90	['tell me']	[[tell, me]]	[[]]	[[[], []]]	[]
91	['he is taking care of the same business i will be taking care of - soon as i dry off.']	[[]]	[['care', 'business', 'care']]	[[['same', 'soon'], ['soon']]]	[]
92	['ok. but it is not clear what do you want from me?']	[[]]	[['but', 'what']]	[[['not', 'clear'], ['not']]]	['ok. but it is not clear what do you want from me?']
93	['yeah.']	[[yeah, .]]	[[]]	[[[], []]]	[]
94	['tell me clearly']	[[]]	[[]]	[[['clearly'], ['clearly']]]	[]
