	utterances	interjection	adverb	subobjvrb	neg-keywords
0	[hi]	[[]]	[[]]	[[[], []]]	[[[['hi']], nan]]
1	[let, me, know, something, you, re, interested, in, .]	[['something', '.']]	[['something', 'interested']]	[[['me', 'you'], []]]	[[[['let', 'know', 'let', 'know', 're', 'something', 're', 'interested', 'let']], nan]]
2	[tacos]	[['tacos']]	[['tacos']]	[[[], []]]	[[[['tacos']], nan]]
3	[do, not, argue, with, an, idiot, ., he, will, drag, you, down, to, his, level, and, beat, you, with, experience, .]	[['idiot', '.', 'level', 'and', 'experience', '.']]	[['not', 'idiot', 'you', 'his', 'level', 'you', 'experience']]	[[['he'], []]]	[[[do, not], [[not, argue]], nan], [[will, drag], nan]]
4	[what, ?]	[['what', '?']]	[['what']]	[[[], []]]	[[[['what', 'what']], nan]]
5	[well, ,, i, think, people, are, going, to, find, out, soon, enough, sunday, night, on, cbs, .]	[[',', 'i', 'people', 'sunday', 'night', 'cbs', '.']]	[['people', 'soon', 'enough', 'sunday', 'night', 'cbs']]	[[['i', 'people'], []]]	[[[are, going], [to, find], nan]]
6	[what, does, that, mean]	[['what']]	[['what']]	[[['that'], []]]	[[[does, that], nan]]
7	[i, never, make, the, same, mistake, twice, ., i, make, it, five, and, six, times, ,, just, to, be, sure, .]	[['i', 'mistake', '.', 'i', 'and', 'times', ',', '.']]	[['never', 'same', 'mistake', 'twice', 'times', 'just', 'sure']]	[[['i', 'i', 'it'], []]]	[[[[never, make]], nan], [[to, be], nan]]
8	[please, talk, to, me, ,, i, am, lonely, .]	[[',', 'i', '.']]	[['me', 'lonely']]	[[['i'], []]]	[[[['talk', 'am', 'talk', 'to', 'am', 'am', 'am', 'am', 'am']], nan]]
9	[let, us, make, a, plan, to, see, the, latest, star, war, movies, together]	[['a', 'plan', 'star', 'war', 'movies']]	[['plan', 'latest', 'star', 'war', 'movies', 'together']]	[[['us'], []]]	[[[to, see], nan]]
10	[please, talk, to, me, ,, i, am, lonely, .]	[[',', 'i', '.']]	[['me', 'lonely']]	[[['i'], []]]	[[[['talk', 'am', 'talk', 'to', 'am', 'am', 'am', 'am', 'am']], nan]]
11	[do, you, want, to, go, to, my, firends, party, tonight]	[['firends', 'party', 'tonight']]	[['my', 'firends', 'party', 'tonight']]	[[['you'], []]]	[[[do, you], [to, go], nan]]
12	[that, typo, though, .]	[['typo', '.']]	[['typo', 'though']]	[[[], []]]	[[[['typo', 'typo', 'typo', 'typo']], nan]]
13	[do, not, argue, with, an, idiot, ., he, will, drag, you, down, to, his, level, and, beat, you, with, experience, .]	[['idiot', '.', 'level', 'and', 'experience', '.']]	[['not', 'idiot', 'you', 'his', 'level', 'you', 'experience']]	[[['he'], []]]	[[[do, not], [[not, argue]], nan], [[will, drag], nan]]
14	[you, already, said, that, .]	[['.']]	[['already', 'that']]	[[['you'], []]]	[[[['said', 'said', 'said', 'said', 'said']], nan]]
15	[do, you, want, to, go, to, my, firends, party, tonight]	[['firends', 'party', 'tonight']]	[['my', 'firends', 'party', 'tonight']]	[[['you'], []]]	[[[do, you], [to, go], nan]]
16	[typo]	[[]]	[['typo']]	[[[], []]]	[[[['typo']], nan]]
17	[can, we, talk, about, something, else, ?]	[['something', '?']]	[['something', 'else']]	[[['we'], []]]	[[[can, we], nan]]
18	[no, .]	[['.']]	[[]]	[[[], []]]	[[[['no', 'no']], nan]]
