	utterances	interjection	adverb	subobjvrb	neg-keywords
0	[hello, !]	[['!']]	[[]]	[[[], []]]	[[[['hello', 'hello']], nan]]
1	[hello]	[[]]	[[]]	[[[], []]]	[[[['hello']], nan]]
2	[hello, !]	[['!']]	[[]]	[[[], []]]	[[[['hello', 'hello']], nan]]
3	[how, are, you, ?]	[['?']]	[['how', 'are']]	[[['you'], []]]	[[[['are', 'are', 'are', 'are']], nan]]
4	[its, beyond, my, possibilities, !, i, would, like, to, talk, about, you, !]	[['possibilities', '!', 'i', '!']]	[['its', 'my', 'possibilities', 'would', 'like', 'talk']]	[[['i'], []]]	[[[['its', 'its', 'possibilities', 'beyond', 'its', 'like', 'like', 'like', 'talk', 'like', 'talk', 'about', 'like']], nan], [[would, like], [to, talk], nan]]
5	[i, m, from, boston, .]	[['i', 'm', 'boston', '.']]	[['m', 'boston']]	[[['i'], []]]	[[[['m', 'm', 'm', 'from', 'm']], nan]]
6	[good, !]	[['!']]	[['good']]	[[[], []]]	[[[['good', 'good']], nan]]
7	[where, are, you, from, ?]	[['?']]	[['where', 'are']]	[[['you'], []]]	[[[['are', 'are', 'are', 'are', 'are']], nan]]
8	[i, m, from, umbria, ,, near, perugia, .]	[['i', 'm', 'umbria', ',', 'perugia', '.']]	[['m', 'umbria', 'perugia']]	[[['i'], []]]	[[[['m', 'm', 'm', 'from', 'm', 'm', 'near', 'm']], nan]]
9	[wow, ., do, you, like, where, you, live, ?]	[['.', '?']]	[['do', 'like', 'where', 'live']]	[[['you', 'you'], []]]	[[[['wow', 'wow', 'like', 'like', 'like', 'live', 'live', 'like', 'like']], nan], [[do, you], nan]]
10	[yeah, .]	[['.']]	[[]]	[[[], []]]	[[[['yeah', 'yeah']], nan]]
11	[do, you, have, any, children, ?]	[['children', '?']]	[['do', 'have', 'children']]	[[['you'], []]]	[[[do, you], nan]]
12	[no, .]	[['.']]	[[]]	[[[], []]]	[[[['no', 'no']], nan]]
13	[i, have, 3, daughters, .]	[['i', '3', 'daughters', '.']]	[['have', 'daughters']]	[[['i'], []]]	[[[['have', 'have', 'daughters', 'have', 'have']], nan]]
14	[what, a, joke, !]	[['what', 'a', 'joke', '!']]	[['what', 'joke']]	[[[], []]]	[[[['joke', 'joke', 'joke', 'joke']], nan]]
15	[seriously, ., we, can, not, make, boys, ., haha]	[['.', 'boys', '.']]	[['seriously', 'can', 'not', 'make', 'boys']]	[[['we'], []]]	[[[['seriously', 'seriously', 'make', 'make', 'make', 'make', 'make', 'make', 'haha']], nan], [[can, not], [[not, make]], nan], [[['seriously', 'seriously', 'make', 'make', 'make', 'make', 'make', 'make', 'haha']], nan]]
16	[what, a, joke]	[['a', 'joke']]	[['what', 'joke']]	[[[], []]]	[[[['joke', 'joke', 'joke']], nan]]
17	[do, you, want, children, ?]	[['children', '?']]	[['do', 'want', 'children']]	[[['you'], []]]	[[[do, you], nan]]
18	[no, .]	[['.']]	[[]]	[[[], []]]	[[[['no', 'no']], nan]]
19	[don, not, blame, you, ., love, my, children, but, they, are, so, much, work, .]	[['.', 'children', 'but', 'work', '.']]	[['don', 'not', 'blame', 'you', 'love', 'my', 'children', 'are', 'so', 'much', 'work']]	[[['they'], []]]	[[[don, not], [[not, blame]], nan], [[['blame', 'blame', 'blame', 'blame', 'blame', 'love', 'children', 'love', 'love', 'are', 'love', 'much', 'work', 'are', 'are']], nan]]
20	[i, don, t, think, they, should, be, able, to, work, for, them, .]	[['i', 't', '.']]	[['don', 't', 'think', 'should', 'be', 'able', 'work']]	[[['i', 'they'], []]]	[[[should, be], [to, work], nan]]
21	[hello, !]	[['!']]	[[]]	[[[], []]]	[[[['hello', 'hello']], nan]]
22	[hi,  , how, are, you, today, ?]	[[' ', 'today', '?']]	[['how', 'are', 'today']]	[[['you'], []]]	[[[['are', 'hi', 'are', 'are', 'are', 'are', 'are']], nan]]
23	[hi, .]	[['.']]	[[]]	[[[], []]]	[[[['hi', 'hi']], nan]]
24	[hi,  , how, are, you, today, ?]	[[' ', 'today', '?']]	[['how', 'are', 'today']]	[[['you'], []]]	[[[['are', 'hi', 'are', 'are', 'are', 'are', 'are']], nan]]
25	[hi, .]	[['.']]	[[]]	[[[], []]]	[[[['hi', 'hi']], nan]]
26	[are, you, from, a, city, or, a, small, town, ?]	[['a', 'city', 'or', 'a', 'town', '?']]	[['are', 'city', 'small', 'town']]	[[['you'], []]]	[[[['are', 'are', 'are', 'city', 'from', 'city', 'town', 'town', 'city', 'are']], nan]]
27	[i, don, t, understand,  , i, can, t, answer, !, i, would, like, to, discuss, news]	[['i', 't', ' ', 'i', 't', '!', 'i', 'news']]	[['don', 't', 'understand', 'can', 'answer', 'would', 'like', 'discuss', 'news']]	[[['i', 'i', 'i'], []]]	[[[can, t], nan], [[would, like], [to, discuss], nan]]
28	[ok,  , what, do, you, think, of, president, trump, ?]	[[' ', 'what', 'president', 'trump', '?']]	[['what', 'do', 'think', 'president', 'trump']]	[[['you'], []]]	[[[['ok', 'ok', 'think', 'think', 'think', 'think', 'think', 'trump', 'of', 'think']], nan], [[do, you], nan]]
29	[i, don, t, know, what, he, is, talking, about]	[['i', 't', 'what']]	[['don', 't', 'know', 'what', 'is', 'talking']]	[[['i', 't', 'he'], []]]	[[[['don', 'don', 'know', 'know', 'about', 'talking', 'talking', 'know', 'talking']], nan], [[is, talking], nan]]
30	[i, think, he, is, a, crazy, man, .,  , do, you, think, he, will, be, impeached, ?]	[['i', 'a', 'man', '.', ' ', '?']]	[['think', 'is', 'crazy', 'man', 'do', 'think', 'will', 'be', 'impeached']]	[[['i', 'he', 'you'], []]]	[[[['think', 'think', 'is', 'think', 'man', 'man', 'is', 'think', '.', 'think', 'think', 'think', 'impeached', 'impeached', 'impeached', 'think', 'think']], nan], [[do, you], [will, be], [be, impeached], nan]]
31	[what, a, joke, !, !, !]	[['what', 'a', 'joke', '!', '!', '!']]	[['what', 'joke']]	[[[], []]]	[[[['joke', 'joke', 'joke', 'joke', 'joke', 'joke']], nan]]
32	[i, hope, that, those, people, in, texas, affected, by, this, storm, will, be, safe, ., what, do, you, think, ?]	[['i', 'people', 'texas', 'storm', '.', 'what', '?']]	[['hope', 'people', 'texas', 'affected', 'storm', 'will', 'be', 'safe', 'what', 'do', 'think']]	[[['i', 'people', 'you'], []]]	[[[will, be], nan], [[do, you], nan]]
33	[ , its, beyond, my, possibilities, !, let, s, talk, about, movies, .]	[[' ', 'possibilities', '!', 's', 'movies', '.']]	[['its', 'my', 'possibilities', 'let', 'talk', 'movies']]	[[['s'], []]]	[[[['its', 'its', 'its', 'possibilities', 'beyond', 'its', 'let', 'talk', 'let', 'talk', 'about', 'let']], nan], [[['its', 'its', 'its', 'possibilities', 'beyond', 'its', 'let', 'talk', 'let', 'talk', 'about', 'let']], nan]]
34	[ok,  , what, is, your, favorite, movie, this, summer, ?]	[[' ', 'what', 'movie', 'summer', '?']]	[['what', 'is', 'your', 'favorite', 'movie', 'summer']]	[[[], []]]	[[[['ok', 'ok', 'is', 'ok', 'movie', 'movie', 'is', 'summer', 'is', 'is']], nan]]
35	[ , its, beyond, my, possibilities, ., let, s, talk, about, movies, )]	[[' ', 'possibilities', '.', 's', 'movies', ')']]	[['its', 'my', 'possibilities', 'let', 'talk', 'movies']]	[[['s'], []]]	[[[['its', 'its', 'its', 'possibilities', 'beyond', 'its', 'let', 'talk', 'let', 'talk', 'about', 'let']], nan], [[['its', 'its', 'its', 'possibilities', 'beyond', 'its', 'let', 'talk', 'let', 'talk', 'about', 'let']], nan]]
36	[i, like, the, new, avengers, movie, )]	[['i', 'avengers', 'movie', ')']]	[['new', 'avengers', 'movie']]	[[['i'], []]]	[[[['like', 'like', 'movie', 'movie', 'movie', 'like', 'like']], nan]]
37	[i, don, t, understand,  , i, can, t, answer, !, let, s, talk, about, movies, .]	[['i', 't', ' ', 'i', 't', '!', 's', 'movies', '.']]	[['don', 't', 'understand', 'can', 'answer', 'let', 'talk', 'movies']]	[[['i', 'i', 's'], []]]	[[[can, t], nan], [[['don', 'don', 'don', 'don', 'understand', 'answer', 'answer', 'answer', 'understand', 'understand', 'let', 'talk', 'let', 'talk', 'about', 'let']], nan]]
38	[what, movies, do, you, like, ?, action, or, comedy, ?]	[['what', 'movies', '?', 'action', 'or', 'comedy', '?']]	[['what', 'movies', 'do', 'like', 'action', 'comedy']]	[[['you'], []]]	[[[do, you], nan]]
39	[yeah, .]	[['.']]	[[]]	[[[], []]]	[[[['yeah', 'yeah']], nan]]
40	[i, really, like, the, new, captain, america, movie]	[['i', 'captain', 'america', 'movie']]	[['really', 'like', 'new', 'captain', 'america', 'movie']]	[[['i'], []]]	[[[['like', 'like', 'like', 'movie', 'movie', 'america', 'movie', 'like']], nan]]
41	[why, ?]	[['?']]	[['why']]	[[[], []]]	[[[['why', 'why']], nan]]
42	[hello, !]	[['!']]	[[]]	[[[], []]]	[[[['hello', 'hello']], nan]]
43	[hello]	[[]]	[[]]	[[[], []]]	[[[['hello']], nan]]
44	[hello, !]	[['!']]	[[]]	[[[], []]]	[[[['hello', 'hello']], nan]]
45	[who, are, you, ?]	[['who', '?']]	[['who', 'are']]	[[['you'], []]]	[[[['are', 'are', 'are', 'are']], nan]]
46	[its, beyond, my, possibilities,  , i, would, like, to, discuss, politics, )]	[['possibilities', ' ', 'i', 'politics', ')']]	[['its', 'my', 'possibilities', 'would', 'like', 'discuss', 'politics']]	[[['i'], []]]	[[[would, like], [to, discuss], nan]]
47	[what, about, politics, do, you, want, to, discuss, ?]	[['what', 'politics', '?']]	[['what', 'politics', 'do', 'want', 'discuss']]	[[['you'], []]]	[[[do, you], [to, discuss], nan]]
48	[yes, .]	[['.']]	[[]]	[[[], []]]	[[[['yes', 'yes']], nan]]
49	[i, don, not, like, politics]	[['i', 'politics']]	[['don', 'not', 'politics']]	[[['i'], []]]	[[[[not, like]], nan]]
50	[what, a, joke, .]	[['what', 'a', 'joke', '.']]	[['what', 'joke']]	[[[], []]]	[[[['joke', 'joke', 'joke', 'joke']], nan]]
51	[what, do, you, do, for, fun, ?]	[['what', 'fun', '?']]	[['what', 'do', 'do', 'fun']]	[[['you'], []]]	[[[do, you], nan]]
52	[i, don, t, know, .]	[['i', 't', 'know', '.']]	[['don', 't', 'know']]	[[['i', 't'], []]]	[[[['don', 'don', 'know', 'don', 'don']], nan]]
53	[what, can, you, tell, me, ?]	[['what', '?']]	[['what', 'can', 'tell', 'me']]	[[['you'], []]]	[[[can, you], nan]]
54	[nothing, .]	[['nothing', '.']]	[['nothing']]	[[[], []]]	[[[['nothing', 'nothing']], nan]]
55	[do, you, have, anything, to, say, ?]	[['anything', '?']]	[['do', 'have', 'anything', 'say']]	[[['you'], []]]	[[[do, you], [to, say], nan]]
56	[no, .]	[['.']]	[[]]	[[[], []]]	[[[['no', 'no']], nan]]
57	[then, why, are, we, talking, ?]	[['?']]	[['then', 'why', 'are', 'talking']]	[[['we'], []]]	[[[are, we], nan]]
58	[i, don, t, know, .]	[['i', 't', 'know', '.']]	[['don', 't', 'know']]	[[['i', 't'], []]]	[[[['don', 'don', 'know', 'don', 'don']], nan]]
59	[what, is, your, name, ?]	[['what', 'name', '?']]	[['what', 'is', 'your', 'name']]	[[['name'], []]]	[[[['is', 'is', 'name', 'is', 'is']], nan]]
60	[amoroso, renato, .]	[['renato', '.']]	[['renato']]	[[[], []]]	[[[['renato', 'renato', 'renato']], nan]]
61	[how, old, are, you, ?]	[['?']]	[['how', 'old', 'are']]	[[['you'], []]]	[[[['old', 'are', 'are', 'are', 'are']], nan]]
62	[camelia, ?]	[['camelia', '?']]	[['camelia']]	[[[], []]]	[[[['camelia', 'camelia']], nan]]
63	[hello, !]	[['!']]	[[]]	[[[], []]]	[[[['hello', 'hello']], nan]]
64	[hi, !]	[['!']]	[[]]	[[[], []]]	[[[['hi', 'hi']], nan]]
65	[hi, .]	[['.']]	[[]]	[[[], []]]	[[[['hi', 'hi']], nan]]
66	[where, are, you, traveling, to, ?]	[['?']]	[['where', 'are', 'traveling']]	[[['you'], []]]	[[[are, you], nan]]
67	[i, don, t, know, .]	[['i', 't', 'know', '.']]	[['don', 't', 'know']]	[[['i', 't'], []]]	[[[['don', 'don', 'know', 'don', 'don']], nan]]
68	[do, you, have, any, children, ?]	[['children', '?']]	[['do', 'have', 'children']]	[[['you'], []]]	[[[do, you], nan]]
69	[no, .]	[['.']]	[[]]	[[[], []]]	[[[['no', 'no']], nan]]
70	[do, you, like, dogs, ?]	[['dogs', '?']]	[['do', 'dogs']]	[[['you'], []]]	[[[do, you], nan]]
71	[no, .]	[['.']]	[[]]	[[[], []]]	[[[['no', 'no']], nan]]
72	[i, like, the, state, of, colorado, .]	[['i', 'state', 'colorado', '.']]	[['state', 'colorado']]	[[['i'], []]]	[[[['like', 'like', 'state', 'like', 'state', 'of', 'like']], nan]]
73	[do, you, know, what, ?, its, beyond, my, possibilities, ., i, would, like, to, discuss, news, !]	[['what', '?', 'possibilities', '.', 'i', 'news', '!']]	[['do', 'know', 'what', 'its', 'my', 'possibilities', 'would', 'like', 'discuss', 'news']]	[[['you', 'i'], []]]	[[[do, you], nan], [[['know', 'know', 'know', 'know', 'know', 'its', 'its', 'possibilities', 'beyond', 'its', 'like', 'like', 'like', 'discuss', 'like', 'discuss', 'like']], nan], [[would, like], [to, discuss], nan]]
74	[how, to, you, like, president, trump, ?]	[['president', '?']]	[['how', 'president', 'trump']]	[[[], []]]	[[[you, like], nan]]
75	[nan]	[[]]	[[]]	[[[], []]]	[[[['nan']], nan]]
76	[what, news, ?]	[['news', '?']]	[['what', 'news']]	[[[], []]]	[[[['news', 'news', 'news']], nan]]
77	[nan]	[[]]	[[]]	[[[], []]]	[[[['nan']], nan]]
78	[what, do, you, think, of, the, korea, launching, missles, ?]	[['what', 'korea', 'missles', '?']]	[['what', 'do', 'think', 'korea', 'launching', 'missles']]	[[['you'], []]]	[[[do, you], nan]]
79	[nan]	[[]]	[[]]	[[[], []]]	[[[['nan']], nan]]
80	[do, you, like, cats, ?]	[['cats', '?']]	[['do', 'cats']]	[[['you'], []]]	[[[do, you], nan]]
81	[nan]	[[]]	[[]]	[[[], []]]	[[[['nan']], nan]]
82	[have, a,  , nice, trip, .]	[['a', ' ', 'trip', '.']]	[['have', 'nice', 'trip']]	[[[], []]]	[[[['have', 'trip', 'a', 'trip', 'have', 'have']], nan]]
83	[nan]	[[]]	[[]]	[[[], []]]	[[[['nan']], nan]]
84	[hello, !]	[['!']]	[[]]	[[[], []]]	[[[['hello', 'hello']], nan]]
85	[hi, there, !]	[['!']]	[['there']]	[[[], []]]	[[[['hi', 'hi', 'hi']], nan]]
86	[hello, !]	[['!']]	[[]]	[[[], []]]	[[[['hello', 'hello']], nan]]
87	[how, are, you, today, ?]	[['today', '?']]	[['how', 'are', 'today']]	[[['you'], []]]	[[[['are', 'are', 'are', 'are', 'are']], nan]]
88	[do, you, know, what, ?, its, beyond, my, possibilities,  , i, would, like, to, talk, about, news, .]	[['what', '?', 'possibilities', ' ', 'i', 'news', '.']]	[['do', 'know', 'what', 'its', 'my', 'possibilities', 'would', 'like', 'talk', 'news']]	[[['you', 'i'], []]]	[[[do, you], nan], [[would, like], [to, talk], nan]]
89	[did, you, see, on, the, news, about, all, the, flooding, in, houston, ?]	[['news', 'flooding', 'houston', '?']]	[['did', 'see', 'news', 'all', 'flooding', 'houston']]	[[['you'], []]]	[[[did, you], nan]]
90	[yes, .]	[['.']]	[[]]	[[[], []]]	[[[['yes', 'yes']], nan]]
91	[i, can, not, believe, how, much, that, tropical, storm, rained, on, everything, .]	[['i', 'storm', 'everything', '.']]	[['can', 'not', 'believe', 'how', 'much', 'tropical', 'storm', 'rained', 'everything']]	[[['i', 'storm'], []]]	[[[can, not], [[not, believe]], nan]]
92	[i, can, t, answer, !, let, s, talk, about, politics, )]	[['i', 't', '!', 's', 'politics', ')']]	[['can', 'answer', 'let', 'talk', 'politics']]	[[['i', 's'], []]]	[[[can, t], nan], [[['answer', 'answer', 'answer', 'answer', 'answer', 'let', 'talk', 'let', 'talk', 'about', 'let']], nan]]
93	[i, really, don, not, like, to, talk, about, politics, ,, can, we, talk, about, food, ?]	[['i', 'politics', ',', 'food', '?']]	[['really', 'don', 'not', 'like', 'talk', 'politics', 'can', 'talk', 'food']]	[[['i', 'we'], []]]	[[[[not, like]], [to, talk], [can, we], nan]]
94	[do, you, know, what, ?, i, can, t, answer,  , i, would, like, to, talk, about, you, )]	[['what', '?', 'i', 't', 'answer', ' ', 'i', ')']]	[['do', 'know', 'what', 'can', 'answer', 'would', 'like', 'talk']]	[[['you', 'i', 'i'], []]]	[[[do, you], nan], [[can, t], nan], [[would, like], [to, talk], nan]]
95	[ok, ,, i, really, like, cats, ,, i, have, four, of, them, .]	[[',', 'i', 'cats', ',', 'i', '.']]	[['really', 'cats', 'have', 'four']]	[[['i', 'i'], []]]	[[[['have', 'like', 'like', 'like', 'have', 'like', 'have', 'have', 'have', 'have', 'four', 'of', 'have']], nan]]
96	[you, know, ?]	[['?']]	[['know']]	[[['you'], []]]	[[[['know', 'know', 'know']], nan]]
97	[do, i, know, what, ?]	[['i', 'what', '?']]	[['do', 'know', 'what']]	[[['i'], []]]	[[[do, i], nan]]
98	[no, .]	[['.']]	[[]]	[[[], []]]	[[[['no', 'no']], nan]]
99	[do, you, like, cats, ?]	[['cats', '?']]	[['do', 'cats']]	[[['you'], []]]	[[[do, you], nan]]
100	[no, .]	[['.']]	[[]]	[[[], []]]	[[[['no', 'no']], nan]]
101	[so, your, more, of, a, dog, person, ?]	[['a', 'dog', 'person', '?']]	[['so', 'your', 'more', 'dog', 'person']]	[[[], []]]	[[[['more', 'more', 'more', 'more', 'person', 'person', 'of', 'more']], nan]]
