	utterances	interjection	adverb	subobjvrb	neg-keywords
0	[hi, alex]	[['alex']]	[['alex']]	[[[], []]]	[[[['alex', 'alex']], nan]]
1	[you, three, have, a, good, weekend, .]	[['a', 'weekend', '.']]	[['have', 'good', 'weekend']]	[[['you', 'three'], []]]	[[[['have', 'have', 'have', 'weekend', 'weekend', 'have', 'have']], nan]]
2	[thanks]	[['thanks']]	[['thanks']]	[[[], []]]	[[[['thanks']], nan]]
3	[now, come, on, ,, let, is, get, out, of, here, ., i, am, freezing, and, mr, .]	[[',', '.', 'i', 'and', 'mr', '.']]	[['now', 'come', 'let', 'is', 'get', 'here', 'am', 'freezing', 'mr']]	[[['i'], []]]	[[[is, get], nan], [[am, freezing], nan]]
4	[it, is, quite, cold, here]	[[]]	[['is', 'quite', 'cold', 'here']]	[[['it'], []]]	[[[['is', 'is', 'cold', 'is', 'is']], nan]]
5	[it, is,  , wouldpose, to, be, cold, .]	[[' ', 'wouldpose', '.']]	[['is', 'wouldpose', 'be', 'cold']]	[[['it'], []]]	[[[to, be], nan]]
6	[i, suppose]	[['i']]	[['suppose']]	[[['i'], []]]	[[[['suppose', 'suppose']], nan]]
7	[you, can, leave, it, there, ., a, beat, ., does, she, really, mean, it, ?]	[['.', 'a', 'beat', '.', '?']]	[['can', 'leave', 'it', 'there', 'beat', 'does', 'really', 'mean', 'it']]	[[['you', 'she'], []]]	[[[can, leave], nan], [[['leave', 'leave', 'leave', 'leave', 'leave', 'leave', 'beat', 'beat', 'beat', 'mean', 'mean', 'mean', 'mean', 'mean', 'mean']], nan], [[does, she], nan]]
8	[i, do, not, know]	[['i']]	[['do', 'not', 'know']]	[[['i'], []]]	[[[do, not], [[not, know]], nan]]
9	[i, think, it, is, totally, weak, .]	[['i', '.']]	[['think', 'is', 'totally', 'weak']]	[[['i', 'it'], []]]	[[[['think', 'think', 'is', 'think', 'weak', 'is', 'think']], nan]]
10	[maybe]	[[]]	[['maybe']]	[[[], []]]	[[[['maybe']], nan]]
11	[maybe, –, maybe, !, i, do, not, want, any, maybe, .]	[['–', '!', 'i', '.']]	[['maybe', 'maybe', 'do', 'not', 'want', 'any', 'maybe']]	[[['i'], []]]	[[[['–', '–', '–', '–', 'want', 'want', 'want', 'want', 'want', 'want', 'want']], nan], [[do, not], [[not, want]], nan]]
12	[what, do, you, want, ?]	[['what', '?']]	[['what', 'do', 'want']]	[[['you'], []]]	[[[do, you], nan]]
13	[were, you, asleep, ?]	[['?']]	[['were', 'asleep']]	[[['you'], []]]	[[[['were', 'were', 'were', 'were']], nan]]
14	[when, ?]	[['?']]	[['when']]	[[[], []]]	[[[['when', 'when']], nan]]
15	[in, a, minute, ,, look, it, is, hot, ,, sweetie, you, will, burn, your, nose, ,, look, out, .]	[['a', 'minute', ',', ',', 'sweetie', 'nose', ',', '.']]	[['minute', 'look', 'is', 'hot', 'sweetie', 'will', 'burn', 'your', 'nose', 'look']]	[[['it', 'you'], []]]	[[[will, burn], nan]]
16	[what, ?]	[['what', '?']]	[['what']]	[[[], []]]	[[[['what', 'what']], nan]]
17	[the, radio, is, gone, ..., that, means, --, the, car, is, gone, !]	[['radio', 'car', '!']]	[['radio', 'is', 'gone', 'means', 'car', 'is', 'gone']]	[[['that'], []]]	[[[is, gone], [is, gone], nan]]
18	[what, car, ?]	[['car', '?']]	[['what', 'car']]	[[[], []]]	[[[['car', 'car', 'car']], nan]]
19	[i, have, an, idea, for, that, .]	[['i', 'idea', '.']]	[['have', 'idea']]	[[['i'], []]]	[[[['have', 'have', 'idea', 'have', 'idea', 'for', 'have']], nan]]
20	[hi, alex, ,, you, still, there]	[['alex', ',']]	[['alex', 'you', 'still', 'there']]	[[[], []]]	[[[['alex', 'alex', 'alex', 'alex', 'you', 'you']], nan]]
21	[so, you, have, been, told, you, have, cancer, ., well, ...]	[['cancer', '.']]	[['have', 'been', 'told', 'have', 'cancer']]	[[['you'], []]]	[[[have, been], [been, told], nan], [[['told', 'told', 'told', 'told', 'told', 'have', 'told', 'have', 'told', 'well', 'well']], nan]]
22	[no, ,, i, do, not, think, so]	[[',', 'i']]	[['do', 'not', 'think', 'so']]	[[['i'], []]]	[[[do, not], [[not, think]], nan]]
23	[you, do, not, like, it, .]	[['.']]	[['do', 'not', 'like', 'it']]	[[['you'], []]]	[[[do, not], [[not, like]], nan]]
24	[of, course, not, !, !, !]	[['course', '!', '!', '!']]	[['course', 'not']]	[[[], []]]	[[[['not', 'of', 'not', 'not', 'not', 'not']], nan]]
25	[what, i, mean, is, ,, do, you, really, know, what, is, going, on, in, his, head, ?]	[['what', 'i', ',', 'what', 'head', '?']]	[['what', 'mean', 'is', 'do', 'really', 'know', 'what', 'is', 'going', 'his', 'head']]	[[['i', 'you', 'what'], []]]	[[[do, you], [is, going], nan]]
26	[no]	[[]]	[[]]	[[[], []]]	[[[['no']], nan]]
27	[i, told, you, a, thousand, times, you, should, always, keep, ,, uh, ...]	[['i', 'a', 'times', ',']]	[['told', 'times', 'should', 'always', 'keep']]	[[['i', 'you'], []]]	[[[should, always], nan]]
28	[sorry, ,, but, i, forgot]	[[',', 'but', 'i']]	[['forgot']]	[[['i'], []]]	[[[['sorry', 'sorry', 'forgot', 'forgot', 'forgot']], nan], [[['sorry', 'sorry', 'forgot', 'forgot', 'forgot']], nan]]
29	[side, -, kick, drives, away, ., grierson, turns, to, david, .]	[['-', 'kick', 'drives', '.', 'grierson', 'david', '.']]	[['side', 'kick', 'drives', 'away', 'grierson', 'turns', 'david']]	[[['grierson'], []]]	[[[['kick', 'kick', 'drives', 'drives', 'drives', 'drives', 'turns', 'turns', 'turns', 'to', 'turns']], nan], [[['kick', 'kick', 'drives', 'drives', 'drives', 'drives', 'turns', 'turns', 'turns', 'to', 'turns']], nan]]
30	[what, ?, ?, ?]	[['what', '?', '?', '?']]	[['what']]	[[[], []]]	[[[['what', 'what', 'what', 'what']], nan]]
31	[joey, points]	[['joey', 'points']]	[['joey', 'points']]	[[['joey'], []]]	[[[['points', 'points']], nan]]
32	[you, are, like, crazy, today]	[['today']]	[['are', 'crazy', 'today']]	[[['you'], []]]	[[[['are', 'are', 'are', 'like', 'are']], nan]]
33	[dad, ,, this, is, not, actually, what, he, is, like, ., he, took, some, drugs, and--]	[['dad', ',', 'what', '.', 'drugs']]	[['dad', 'is', 'not', 'actually', 'what', 'is', 'took', 'drugs']]	[[['this', 'he', 'he'], []]]	[[[[not, actually]], nan], [[['is', 'is', 'is', 'is', 'is', 'is', 'like', 'is', 'is', 'is', 'is', 'took', 'took', 'drugs', 'took', 'took']], nan]]
34	[helloooo]	[['helloooo']]	[['helloooo']]	[[[], []]]	[[[['helloooo']], nan]]
35	[leave, it]	[[]]	[['leave', 'it']]	[[[], []]]	[[[['leave', 'leave']], nan]]
36	[you, ,, leave, it, ,, can, we, just, talk, ?]	[[',', ',', '?']]	[['leave', 'it', 'can', 'just', 'talk']]	[[['you', 'we'], []]]	[[[can, we], nan]]
37	[he, persists, .]	[['.']]	[['persists']]	[[['he'], []]]	[[[['persists', 'persists', 'persists']], nan]]
38	[who, is, he, anyway, ?]	[['who', '?']]	[['who', 'is', 'anyway']]	[[['he'], []]]	[[[['is', 'is', 'is', 'is', 'is']], nan]]
39	[well, ..., why, are, you, asking, this, ,, by, the, way, ?]	[[',', 'way', '?']]	[['why', 'are', 'asking', 'this', 'way']]	[[['you'], []]]	[[[are, you], nan]]
40	[hi, alex]	[['alex']]	[['alex']]	[[[], []]]	[[[['alex', 'alex']], nan]]
41	[hi, .]	[['.']]	[[]]	[[[], []]]	[[[['hi', 'hi']], nan]]
42	[how, are, you, doing, today, ?]	[['today', '?']]	[['how', 'are', 'doing', 'today']]	[[['you'], []]]	[[[are, you], nan]]
43	[i, am, killing, myself, .]	[['i', '.']]	[['am', 'killing', 'myself']]	[[['i'], []]]	[[[am, killing], nan]]
44	[why, ?]	[['?']]	[['why']]	[[[], []]]	[[[['why', 'why']], nan]]
45	[well, ,, i, think, --]	[[',', 'i']]	[['think']]	[[['i'], []]]	[[[['think', 'think', 'think', 'think', 'think']], nan]]
46	[about, what, ?]	[['what', '?']]	[['what']]	[[[], []]]	[[[['what', 'what', 'what']], nan]]
47	[yeah, ,, i, heard, about, that, .]	[[',', 'i', '.']]	[['heard']]	[[['i'], []]]	[[[['heard', 'yeah', 'heard', 'heard', 'heard', 'about', 'heard']], nan]]
48	[what, ?]	[['what', '?']]	[['what']]	[[[], []]]	[[[['what', 'what']], nan]]
49	[i, think, you, have, a, gray, hair, .]	[['i', 'a', 'hair', '.']]	[['think', 'have', 'gray', 'hair']]	[[['i', 'you'], []]]	[[[['think', 'think', 'have', 'think', 'hair', 'hair', 'have', 'think']], nan]]
50	[you, are, right]	[[]]	[['are', 'right']]	[[['you'], []]]	[[[['are', 'are', 'are']], nan]]
51	[it, is, like, the, days, of, the, mad, barber, of, fleet, street, ,, is, not, it, ?]	[['days', 'barber', 'fleet', 'street', ',', '?']]	[['is', 'days', 'mad', 'barber', 'fleet', 'street', 'is', 'not']]	[[['it', 'it'], []]]	[[[[not, it]], nan]]
52	[yes]	[[]]	[[]]	[[[], []]]	[[[['yes']], nan]]
53	[i, would, like, to, thank, you, for, filling, in, on, such, short, notice, for, the, vice, president, .]	[['i', 'notice', 'vice', 'president', '.']]	[['would', 'like', 'thank', 'you', 'filling', 'such', 'short', 'notice', 'vice', 'president']]	[[['i'], []]]	[[[would, like], [to, thank], nan]]
54	[do, you, have, a, car, ?]	[['a', 'car', '?']]	[['do', 'have', 'car']]	[[['you'], []]]	[[[do, you], nan]]
55	[you, lying, son, of, a, bitch, ...]	[['son', 'a', 'bitch']]	[['lying', 'son', 'bitch']]	[[['you'], []]]	[[[['lying', 'lying', 'lying', 'son', 'bitch', 'of', 'lying']], nan]]
56	[do, you, have, a, car, ?]	[['a', 'car', '?']]	[['do', 'have', 'car']]	[[['you'], []]]	[[[do, you], nan]]
57	[this, car, .]	[['car', '.']]	[['car']]	[[[], []]]	[[[['car', 'car', 'car']], nan]]
58	[do, you, have, a, car, ?]	[['a', 'car', '?']]	[['do', 'have', 'car']]	[[['you'], []]]	[[[do, you], nan]]
59	[could, you, please, say, something, different, ?]	[['something', '?']]	[['could', 'say', 'something', 'different']]	[[['you'], []]]	[[[could, you], nan]]
60	[i, am, back, again]	[['i']]	[['am', 'back', 'again']]	[[['i'], []]]	[[[['am', 'am', 'am', 'am']], nan]]
61	[my, house, is, just, a, couple, of, blocks, away, .]	[['house', 'a', 'couple', 'blocks', '.']]	[['my', 'house', 'is', 'just', 'couple', 'blocks', 'away']]	[[['house'], []]]	[[[['house', 'is', 'is', 'couple', 'couple', 'away', 'couple', 'of', 'is', 'is']], nan]]
62	[good, ,, are, we, going, there, ?]	[[',', '?']]	[['good', 'are', 'going', 'there']]	[[['we'], []]]	[[[are, we], nan]]
63	[what, are, we, going, to, do, ?]	[['what', '?']]	[['what', 'are', 'going', 'do']]	[[['we'], []]]	[[[are, we], [to, do], nan]]
64	[have, some, food, for, dinner, ,, i, can, cook]	[['food', 'dinner', ',', 'i']]	[['have', 'food', 'dinner', 'can', 'cook']]	[[['i'], []]]	[[[can, cook], nan]]
65	[yes, .]	[['.']]	[[]]	[[[], []]]	[[[['yes', 'yes']], nan]]
66	[rendang]	[[]]	[['rendang']]	[[[], []]]	[[[['rendang']], nan]]
67	[please, explain, that, to, me, !]	[['!']]	[['explain', 'that']]	[[[], []]]	[[[['explain', 'explain', 'explain', 'explain', 'to', 'explain']], nan]]
68	[rendang, is, a, spicy, meat, dish, which, originated, from, the, minangkabau, ethnic, group, of, indonesia]	[['a', 'meat', 'dish', 'minangkabau', 'group', 'indonesia']]	[['is', 'spicy', 'meat', 'dish', 'which', 'originated', 'minangkabau', 'ethnic', 'group', 'indonesia']]	[[['rendang', 'which'], []]]	[[[['is', 'is', 'dish', 'dish', 'dish', 'is', 'originated', 'dish', 'originated', 'group', 'group', 'group', 'from', 'group', 'of']], nan]]
69	[ok, ,, thank, you, for, explaining, it, !]	[[',', '!']]	[['thank', 'you', 'explaining', 'it']]	[[[], []]]	[[[['thank', 'thank', 'thank', 'thank', 'thank', 'for', 'explaining', 'thank']], nan]]
70	[do, you, like, rendang]	[[]]	[['do', 'rendang']]	[[['you'], []]]	[[[do, you], nan]]
71	[..., a, group, from, the, ...]	[['a', 'group']]	[['group']]	[[[], []]]	[[[['group', 'group', 'group', 'group', 'from', 'group']], nan]]
72	[rendang]	[[]]	[['rendang']]	[[[], []]]	[[[['rendang']], nan]]
73	[..., a, group, from, the, ...]	[['a', 'group']]	[['group']]	[[[], []]]	[[[['group', 'group', 'group', 'group', 'from', 'group']], nan]]
74	[rendang]	[[]]	[['rendang']]	[[[], []]]	[[[['rendang']], nan]]
75	[it, is, not, the, dish--]	[['dish--']]	[['is', 'not', 'dish--']]	[[['it'], []]]	[[[[not, the]], nan]]
76	[why, the, sequence, is, not, in, order]	[['sequence', 'order']]	[['why', 'sequence', 'is', 'not', 'order']]	[[['sequence'], []]]	[[[[not, in]], nan]]
77	[everything, is, in, order, .]	[['everything', 'order', '.']]	[['everything', 'is', 'order']]	[[['everything'], []]]	[[[['is', 'is', 'is', 'in', 'is']], nan]]
78	[i, do, not, think, so, ,, let, me, check, the, logs]	[['i', ',', 'logs']]	[['do', 'not', 'think', 'so', 'let', 'check', 'logs']]	[[['i', 'me'], []]]	[[[do, not], [[not, think]], nan]]
79	[check, .]	[['.']]	[['check']]	[[[], []]]	[[[['check', 'check']], nan]]
80	[hi, alex]	[['alex']]	[['alex']]	[[[], []]]	[[[['alex', 'alex']], nan]]
81	[you, three, have, a, good, weekend, .]	[['a', 'weekend', '.']]	[['have', 'good', 'weekend']]	[[['you', 'three'], []]]	[[[['have', 'have', 'have', 'weekend', 'weekend', 'have', 'have']], nan]]
82	[yes, ., how, did, you, know, it, ?]	[['.', '?']]	[['how', 'did', 'know', 'it']]	[[['you'], []]]	[[[['yes', 'yes', 'know', 'know', 'know', 'know', 'know', 'know']], nan], [[did, you], nan]]
83	[squash, it, .]	[['.']]	[['squash', 'it']]	[[[], []]]	[[[['squash', 'squash', 'squash']], nan]]
84	[ok, ., good, .]	[['.', '.']]	[['good']]	[[[], []]]	[[[['good', 'ok', 'good', 'good']], nan]]
85	[wait, !]	[['!']]	[['wait']]	[[[], []]]	[[[['wait', 'wait']], nan]]
86	[for, what, ?]	[['what', '?']]	[['what']]	[[[], []]]	[[[['for', 'for', 'for']], nan]]
87	[no, matter, what, you, think, ,, you, did, come, up, with, something, unique, .]	[['what', ',', 'something', '.']]	[['no', 'matter', 'what', 'think', 'did', 'come', 'something', 'unique']]	[[['you', 'you'], []]]	[[[[no, matter]], [did, come], nan]]
88	[thank, you, .]	[['.']]	[['thank', 'you']]	[[[], []]]	[[[['thank', 'thank', 'thank']], nan]]
89	[now, i, want, you, to, do, something, for, me, .]	[['i', 'something', '.']]	[['now', 'want', 'do', 'something']]	[[['i', 'you'], []]]	[[[to, do], nan]]
90	[tell, me]	[[]]	[['tell', 'me']]	[[[], []]]	[[[['tell', 'tell']], nan]]
91	[he, is, taking, care, of, the, same, business, i, will, be, taking, care, of, -, soon, as, i, dry, off, .]	[['care', 'business', 'i', 'care', '-', 'i', '.']]	[['is', 'taking', 'care', 'same', 'business', 'will', 'be', 'taking', 'care', 'soon', 'dry']]	[[['he', 'i', 'i'], []]]	[[[is, taking], [will, be], [be, taking], nan]]
92	[ok, ., but, it, is, not, clear, what, do, you, want, from, me, ?]	[['.', 'but', 'what', '?']]	[['is', 'not', 'clear', 'what', 'do', 'want']]	[[['it', 'you'], []]]	[[[['ok', 'ok', 'is', 'is', 'is', 'is', 'is', 'want', 'want', 'want', 'is', 'want', 'from', 'is']], nan], [[[not, clear]], [do, you], nan]]
