	utterances	interjection	adverb	subobjvrb	neg-keywords
0	['hi']	[[hi]]	[[]]	[[[], []]]	[]
1	['let me know something youre interested in.']	[[]]	[['something']]	[[['interested'], []]]	[]
2	['tacos']	[[tacos]]	[['taco']]	[[[], []]]	[]
3	['do not argue with an idiot. he will drag you down to his level and beat you with experience.']	[[]]	[['idiot', 'level', 'and', 'experience']]	[[['not', '-PRON-'], ['not']]]	['do not argue with an idiot. he will drag you down to his level and beat you with experience.']
4	['what?']	[[what, ?]]	[['what']]	[[[], []]]	[]
5	['well, i think people are going to find out soon enough sunday night on cbs.']	[[]]	[['people', 'sunday', 'night', 'cbs']]	[[['soon', 'enough'], ['soon']]]	[]
6	['what does that mean']	[[]]	[['what']]	[[[], []]]	[]
7	['i never make the same mistake twice. i make it five and six times, just to be sure.']	[[]]	[['mistake', 'and', 'time']]	[[['never', 'same', 'twice', 'just', 'sure'], ['never', 'twice', 'just']]]	['i never make the same mistake twice. i make it five and six times, just to be sure.']
8	['please talk to me, i am lonely.']	[[]]	[[]]	[[['lonely'], []]]	[]
9	['let us make a plan to see the latest star war movies together']	[[]]	[['plan', 'star', 'war', 'movie']]	[[['late', 'together'], ['together']]]	[]
10	['please talk to me, i am lonely.']	[[]]	[[]]	[[['lonely'], []]]	[]
11	['do you want to go to my firends party tonight']	[[]]	[['firend', 'party', 'tonight']]	[[['-PRON-'], []]]	[]
12	['that typo though.']	[[]]	[['typo']]	[[['though'], ['though']]]	[]
13	['do not argue with an idiot. he will drag you down to his level and beat you with experience.']	[[]]	[['idiot', 'level', 'and', 'experience']]	[[['not', '-PRON-'], ['not']]]	['do not argue with an idiot. he will drag you down to his level and beat you with experience.']
14	['you already said that.']	[[]]	[[]]	[[['already'], ['already']]]	[]
15	['do you want to go to my firends party tonight']	[[]]	[['firend', 'party', 'tonight']]	[[['-PRON-'], []]]	[]
16	['typo']	[[typo]]	[[]]	[[['typo'], []]]	[]
17	['can we talk about something else?']	[[]]	[['something']]	[[['else'], ['else']]]	[]
18	['no.']	[[no, .]]	[[]]	[[[], []]]	[]
19	['hmm. any thoughts?']	[[]]	[['thought']]	[[[], []]]	[]
20	['send message']	[[send, message]]	[['message']]	[[[], []]]	[]
21	['you know, hey everyone were in sochi. can you share some interesting stuff with me?']	[[]]	[['everyone', 'sochi', 'stuff']]	[[['interesting'], []]]	[]
22	['about what?']	[[]]	[['what']]	[[[], ['about']]]	[]
23	['i would say, it was probably something that i didnt realize at the time, like a family ski trip with my dad and my mom. what do you think?']	[[]]	[['something', 'time', 'family', 'ski', 'trip', 'dad', 'and', 'mom', 'what']]	[[['probably', 'that', 'not', '-PRON-', '-PRON-'], ['probably', 'not']]]	[]
24	['i dont ski']	[[]]	[[]]	[[['not'], ['not']]]	[]
25	['i certainly try. what do you think?']	[[]]	[['what']]	[[['certainly'], ['certainly']]]	[]
